"","solID","mape","decomp.rssd","nrmse","nrmse_train","facebook_S_thetas","newsletter_thetas","ooh_S_thetas","print_S_thetas","search_S_thetas","tv_S_thetas","facebook_S_alphas","newsletter_alphas","ooh_S_alphas","print_S_alphas","search_S_alphas","tv_S_alphas","facebook_S_gammas","newsletter_gammas","ooh_S_gammas","print_S_gammas","search_S_gammas","tv_S_gammas","cluster","n","top_sol"
"82","3_121_7",0,0.0254571461468863,0.0497395909946423,0.0497395909946423,0.010629281280546,0.913913658617725,0.875950213001304,0.253310387287661,0.428647890836205,0.0402908430963448,0.481257040872321,0.455394787611767,0.083729590784256,0.705744764439152,0.44624265575245,0.0993001580279899,0.485537692709869,0.800591608051521,0.394588536832533,0.623692396821668,0.708109667807958,0.776481780745506,1,17,FALSE
"83","3_122_4",0,0.0175165993849521,0.0510645572862066,0.0510645572862066,0.0173412462842165,0.655592624981035,0.904536786998402,0.247484152023782,0.610341367057541,0.0237384331657278,0.738920944962163,0.248505301820904,0.745564148944615,0.607669894016295,0.437082602030987,0,0.390513766058311,0.437716353444573,0.0130742374933156,0.608584200549938,0.528641469183468,0.805958769435996,1,17,FALSE
"84","3_122_6",0,0.0187241819092039,0.0525703443401326,0.0525703443401326,0.02449612089056,0.86489730316037,0.949417041683012,0.175598165899782,0.584916172580453,0.196914294605335,0.580093903593806,0.267753803472378,0.00405219226947983,0.684863869760084,0.441929292322405,0.106970873922637,0.418604339046461,0.567748795424088,0.419788057364162,0.636697991335834,0.882633081410961,0.979780061007388,1,17,FALSE
"85","3_127_11",0,0.0188217563890791,0.0522699706775998,0.0522699706775998,0.0401780434080338,0.697453560596818,0.913512837795591,0.175598165899782,0.656043926811987,0.223677062515039,0.836408553027484,0.256273856490012,0.597261757649274,0.623108689136156,0.441929292322405,0.101537157201093,0.429840553917921,0.474396285756117,0.0944170014701874,0.614206958707117,0.617335582648485,0.841088799121819,1,17,FALSE
"86","3_157_3",0,0.0260965366981071,0.0495567733883961,0.0495567733883961,0.121335905106542,0.844930735265066,0.908468132731685,0.163118666437395,0.561670550187234,0.0151405801681957,0.0985020231403871,0.486543738721288,0.0709424386542738,0.832998490105631,0.462619128910116,0.108611072478011,0.421523795827439,0.262038674436302,0.369056895384538,0.645493028956244,0.77413424235056,1,1,17,FALSE
"87","3_158_2",0,0.0315727383165844,0.0493174834915318,0.0493174834915318,0.215704799709143,0.901222521772486,0.849104306675476,0.220630933004897,0.450387717840144,0.0477636174608169,0.512676575450394,0.919303285982942,0.179755565368088,0.742261404300353,0.472081140343202,0.107792215398897,0.802881299349597,0.784613736743579,0.326414484083814,0.56664593401378,0.762807482814488,0.694694284799518,1,17,FALSE
"88","3_164_7",0,0.0235969176257159,0.0489720311254485,0.0489720311254485,0.07121984668317,0.667728197266429,0.992865754124517,0.218510720398225,0.121619458196541,0.0160338127713571,0.295104316131706,0.227423088809565,0.526545857585111,0.66478459023757,0.387573388322144,0.124617363560173,0.313900854553649,0.459483072662214,0.0888892309536213,0.743294940509656,0.426317621977942,0.443914838461022,1,17,FALSE
"89","3_165_3",0,0.0207965268152669,0.0497981712782746,0.0497981712782746,0,0.890368427261375,0.946426957489028,0.287011106664738,0.392110662971507,0.0815475543220531,0.244387828517701,0.574776123587139,0.280566027532581,0.70765444920289,0.44624265575245,0.144993502822153,0.293596082524404,0.540342864300193,0.311112536900044,0.83394251575059,0.708109667807958,0.585130802370503,1,17,FALSE
"90","3_169_7",0,0.0106955132074716,0.0511821122498172,0.0511821122498172,0.451929226107323,0.88243917457706,0.88276910625349,0.286046858401885,0.805908110354187,0.0928040405296616,0.72415200430261,0.165982435562912,0.053212181389054,0.731546414897307,0.553662576128,0.123952298288051,0.733071876539754,0.532408559781167,0.0905603070884755,0.517145412860213,0.826376208682902,0.142316411329078,4,54,FALSE
"91","3_173_5",0,0.0220711355533229,0.0498234331889046,0.0498234331889046,0.0247264852103947,0.945990511679926,0.86122000683481,0.327113317369509,0.373637557568114,0.132824383306274,0.422175864363487,0.574776123587139,0.24927153911689,0.830665730700015,0.321438770848765,0.196557232213117,0.242644456341289,0.540342864300193,0.313200570578791,0.693391069025979,0.865827579496833,0.529379344931142,1,17,FALSE
"92","3_173_7",0,0.0348598448985853,0.0488910740725109,0.0488910740725109,0.121335905106542,0.844930735265066,0.812431573427288,0.165229919152555,0.481790326512077,0.0812347121977242,0.261606226610007,0.486543738721288,0.0709424386542738,0.830161965115997,0.550240436010252,0.174030560383323,0.271414982817495,0.262038674436302,0.328279499374015,0.521698714384517,0.562811363051344,0.342344887596064,1,17,FALSE
"93","3_174_9",0,0.0190602016501798,0.0500010208047578,0.0500010208047578,0.0579994182729431,0.842757387600784,0.863864861422943,0.220759920434476,0.288770992530094,0,0.454041589088894,0.420640940483823,0.102941332216353,0.595738872430388,0.387995912775652,0.00722320366676793,0.527054941374423,0.717783449529088,0.260301729665668,0.845004912345312,0.843055759876052,0.803398738845295,1,17,FALSE
"94","3_175_10",0,0.0314760384165037,0.0494900219598683,0.0494900219598683,0.129352643690822,0.676113220404197,0.910929351785821,0.24816778760537,0.437956500269118,0.017975975753062,0,0.327524761119483,0.649116993602513,0.944942824119202,0.566318180359121,0.230242710588693,0.486539531876897,0.78687939350956,0.306155918290259,0.580970617417233,0.978460781365765,0.342073552492871,1,17,FALSE
"95","3_178_2",0,0.0315515672944478,0.0488785359759423,0.0488785359759423,0.0195686734777015,0.709471966177056,0.652673013624975,0.0987370361583857,0.210767789274104,0.0221114295568255,0.23819380801484,0.316429261196006,0.223569132771174,0.879145845635214,0.432495548397653,0.156529943236732,0.548495838665763,0.612080884858395,0.173150967078985,0.210139032698212,0.46077519239301,0.263648197678738,1,17,FALSE
"96","3_179_1",0,0.0231081354648244,0.0489412717559054,0.0489412717559054,0.121335905106542,0.844930735265066,0.965892607750384,0.165229919152555,0.481790326512077,0.0812347121977242,0.261606226610007,0.486543738721288,0.266398911502107,0.684713654494953,0.550240436010252,0.174030560383323,0.271414982817495,0.262038674436302,0.223431323001014,0.836411427186791,0.562811363051344,0.342344887596064,1,17,TRUE
"97","3_180_1",0,0.0210725831186532,0.0501433859174695,0.0501433859174695,0.170868960082438,0.534678569664366,0.912931939630099,0.216281962912518,0.74543554596559,0.0796677911456536,0.670005863439175,0.76942798037395,0.713837726030741,0.655207924271262,0.544442116938361,0.114433349733537,0.680252371493946,0.46656213362261,0.0771510900468683,0.782683253016089,0.796277961244007,0.217538129929655,1,17,FALSE
